,Frequency
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_pushbuttonDimmer_V1.xml,1
16-02804-002-0x0004-Groups-Cluster-XML-PICS-Wirefree_motor_EP1.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS-Wirefree_motor.xml,1
._12_docs-13-0209-15-00ha-Home-Automation-1-2-pics-in-xml_added_Clusters_Project_L_v2.xml,2
12_docs-13-0209-15-00ha-Home-Automation-1-2-pics-in-xml_added_Clusters_Project_L_v2.xml,3
Meter CLuster Only_ZHA.xml,3
16-02802-003-0x0003-Identify-Cluster-XML-PICS (3).xml,3
16-02800-011-PRO-BDB-v3.0.1-XML-PICS (3).xml,3
._16-02805-002-0x0005-Scenes-Cluster-XML-PICS.xml,2
._16-02800-001-PRO_BDB-BDB-XML-PICS.xml,9
17-02934-004-0x0b05-Diagnostics-ZCL8-XML-PICS.xml,42
17-02849-003-0x0202-Fan-Control-ZCL8-XML-PICS.xml,19
._17-02846-001-0x000A-Time-Cluster-XML-PICS.xml,6
._16-02802-003-0x0003-Identify-Cluster-XML-PICS.xml,4
item4.xml,22
header1.xml,24
item2.xml,23
document.xml,24
settings.xml,24
itemProps3.xml,22
[Content_Types].xml,24
itemProps1.xml,23
footer4.xml,23
header2.xml,24
footer1.xml,24
theme1.xml,24
footer2.xml,24
app.xml,24
webSettings.xml,18
item3.xml,22
footnotes.xml,18
header4.xml,23
itemProps4.xml,22
numbering.xml,24
core.xml,24
endnotes.xml,18
itemProps2.xml,23
styles.xml,24
header3.xml,23
item1.xml,23
fontTable.xml,24
custom.xml,22
footer3.xml,24
people.xml,15
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1Channel1-10VDimmer_V1.xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_O2T2V3.xml,2
Electrical Measurement & Meter Cluster Only ZHA.xml,10
16-02800-011-PRO-BDB-v3.0.1-XML-PICS-CMB001.xml,1
IAS Zone cluster Only_ZHA.xml,3
._IAS Zone cluster Only_ZHA.xml,2
._16-02822-002-0x0019-OTA-Cluster-XML-PICS1.xml,1
0x0204,19
0x0103,3
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev5.xml,2
16-02800-001-PRO_BDB-BDB-XML-PICS-SituoSD_EP1-5.xml,1
Only for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,8
~$ly for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6
._~$ly for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6
._Only for ClusterID 0b04  Electrical Measurement used docs-13-0209-21-ZigBee Home Automation 1.2 PICS in XML Format.xml,6
EP5-HA_PICS.xml,5
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS_LK_2Gang2ChanRelay_V1.xml,1
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3_L9D29R_rev1.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_MotionRelay_V1.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_pushbuttonDimmer_V1.xml,1
21-65869-007-0x0204-Thermostat-UI-Configuration-ZCL8-XML-PICS.xml,5
HA_clusters.xml,3
Poll Control Cluster  IAS Zone & Diagnostics Only_ZHA.xml,5
16-02801-002-0x0000-Basic-Cluster-XML-PICS_HeatTag_V1.xml,1
0x0002,3
17-02869-001-Water-Content-Clusters-XML-PICS.xml,4
16-02800-003-PRO_BDB-BDB-XML-PICS_HeatTag_V2.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS.xml,1
commentsIds.xml,1
commentsExtended.xml,7
comments.xml,7
17-02870-Concentration-Measurement-Clusters-XML-PICS.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_pushbuttonRelay_V3.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS - V3.0_2.xml,6
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_rotary_Dimmer_V1.xml,1
17-02870-003-Concentration-Measurement-Clusters-XML-DUT-PICS.xml,1
16-02800-010-PRO_BDB-BDB-XML-PICS.xml,4
17-02839-000-0x0500-IAS-Zone-Cluster-XML-PICS.xml,8
ZigBee Home Automation PICS.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_2gang1Channel1-10VDim.xml,2
16-02800-001-PRO_BDB-BDB-XML-PICS-A9XMC1D3.xml,1
docs-13-0209-20-00ha-ha-1-2-pics-in-xml-A9XMC1D3.xml,1
16-02823-010-0x0019-Touchlink-Comm-Cluster-XML-PICS.xml,2
stylesWithEffects.xml,2
LS0x-16-02815-002-0x0001-Power-Config-Cluster-XML-PICS.xml,3
0x- 21,3
0x-17-,6
0x- 16,6
0x- 22,3
LS03-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1
0x-16-,6
16-02800-001-PRO_BDB-BDB-XML-PICS_rev1.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS_fuga_MotionRelay_V1.xml,1
ATLANTIC_NAVILINK_thermostat_cluster.xml,1
16-02800-003-Fireangel-BDB-XML-PICS.xml,1
LS01-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS_IOModule_IEP1.xml,1
0x0b04,23
17-02846-001-0x000A-Time-Cluster-XML-PICS.xml,2
PICS21-65530-000-0x0008-Level-Control-ZCL8-XML-PICS-Errata.xml,1
PICS16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1
Diagnostics Cluster.xml,2
IAS_zone.xml,1
._IAS_zone.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS-V2.0.xml,1
16-02801-002-0x0000-Basic-Cluster-XML-PICS-Wired_motor.xml,1
docs-13-0209-21-ZigBee-Home-Automation-1.2-Product-Information-iaszone.xml,2
16-02822-006-0x0019-OTA-ZCL8-XML-PICS.xml,5
16-02802-003-0x0003-Identify-Cluster-XML-DUT-SRB01A-PICS.xml,1
16-02800-001-PRO_BDB-BDB-XML-SRB01A-PICS.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_PushbuttonShutter_V1.xml,2
16-02801-002-0x0000-Basic-Cluster-XML-PICS_elko_MotionRelay_V1.xml,1
Simple Metering CLuster.xml,3
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_MicromoduleShutter_V1.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1Channel1-10VDimmer.xml,1
footer5.xml,1
header5.xml,1
footer6.xml,1
header6.xml,1
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - Motor.xml,1
Thermostat-Cluster-PICS-danfoss.xml,1
PICS-Relative Humidity.xml,1
12_docs-13-0209-15-00ha-Home-Automation-1-2-pics-in-xml_added_Clusters_Project-T_v2.xml,1
16-02807-005-0x0008-Level-Control-ZCL8-XML-PICS.xml,2
16-02802-002-0x0003-Identify-Cluster-XML-PICS_SmokeAlarm_IEP2.xml,1
ZUTHConfig.xml,2
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelRelay_V3.xml,1
._Eva Meter Reader - MG21_0x0402-Temp-Meas-Cluster-XML-PICS.xml,1
Eva Meter Reader - MG21-PRO-BDB-v3.0.1-XML-PICS_v02.xml,1
._Eva Meter Reader - MG21-PRO-BDB-v3.0.1-XML-PICS_v02.xml,1
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS.xml,2
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelDimmer_V1.xml,1
17-02849-001-0x0202-Fan-Control-Cluster-XML-PICS.xml,2
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelDaliDimmer.xml,1
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Switch_10A_V1.xml,2
12_ZE39KL_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3.xml,1
docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format - Only IAS Zone.xml,1
16-02800-001-PRO_BDB-BDB-XML-PICS-Gateway_2.xml,3
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gangShutter_V1.xml,1
17-02848-000-PRO_BDB-0x0020-Poll-Control-Cluster.xml,2
Time Cluster Poll Control Cluster  IAS Zone cluster & IAS ACE & IAS WD Only_ZHA.xml,2
